Tahun,USD,JPY,DEM,NLG,GBP,FRH,CHF,SGD,MYR,HKD,AUD,CAD
September,"15,247.00","10,536.00",0,0,"16,436.00",0,"15,487.00","10,563.00","3,281.00","1,942.00","9,824.00","11,092.00"
Agustus,"14,875.00","10,744.00",0,0,"17,456.00",0,"15,330.00","10,656.00","3,319.00","1,895.00","10,303.00","11,451.00"
Juli,"14,958.00","11,034.00",0,0,"18,223.00",0,"15,593.00","10,829.00","3,362.00","1,906.00","10,468.00","11,680.00"
Juni,"14,848.00","10,904.00",0,0,"18,074.00",0,"15,546.00","10,685.00","3,374.00","1,892.00","10,209.00","11,532.00"
Mei,"14,544.00","11,425.00",0,0,"18,372.00",0,"15,201.00","10,638.00","3,327.00","1,853.00","10,454.00","11,459.00"
April,"14,418.00","11,268.00",0,0,"18,087.00",0,"14,932.00","10,449.00","3,307.00","1,837.00","10,310.00","11,225.00"
Maret,"14,349.00","11,794.00",0,0,"18,854.00",0,"15,502.00","10,605.00","3,413.00","1,833.00","10,783.00","11,497.00"
Februari,"14,371.00","12,533.00",0,0,"19,341.00",0,"15,621.00","10,631.00","3,420.00","1,840.00","10,328.00","11,220.00"
Januari,"14,381.00","12,447.00",0,0,"19,233.00",0,"15,447.00","10,600.00","3,427.00","1,845.00","10,077.00","11,263.00"
2021,0,0,0,0,0,0,0,0,0,0,0,0
Desember,"14,269.00","12,389.00",0,0,"19,200.00",0,"15,544.00","10,534.00","3,416.00","1,830.00","10,344.00","11,139.00"
November,"14,340.00","12,653.00",0,0,"19,127.00",0,"15,502.00","10,477.00","3,382.00","1,839.00","10,242.00","11,244.00"
Oktober,"14,199.00","12,497.00",0,0,"19,525.00",0,"15,457.00","10,536.00","3,421.00","1,826.00","10,667.00","11,479.00"
September,"14,307.00","12,852.00",0,0,"19,323.00",0,"15,397.00","10,540.00","3,419.00","1,838.00","10,373.00","11,277.00"
Agustus,"14,374.00","13,087.00",0,0,"19,784.00",0,"15,701.00","10,679.00","3,456.00","1,846.00","10,489.00","11,396.00"
Juli,"14,491.00","13,194.00",0,0,"20,224.00",0,"15,953.00","10,703.00","3,423.00","1,864.00","10,726.00","11,624.00"
Juni,"14,496.00","13,106.00",0,0,"20,061.00",0,"15,738.00","10,781.00","3,493.00","1,867.00","10,915.00","11,709.00"
Mei,"14,310.00","13,025.00",0,0,"20,321.00",0,"15,935.00","10,815.00","3,462.00","1,844.00","11,061.00","11,842.00"
April,"14,468.00","13,276.00",0,0,"20,171.00",0,"15,894.00","10,906.00","3,527.00","1,864.00","11,253.00","11,760.00"
Maret,"14,572.00","13,166.00",0,0,"20,004.00",0,"15,447.00","10,818.00","3,508.00","1,874.00","11,080.00","11,543.00"
Februari,"14,229.00","13,429.00",0,0,"19,948.00",0,"15,734.00","10,734.00","3,514.00","1,835.00","11,196.00","11,302.00"
Januari,"14,084.00","13,482.00",0,0,"19,311.00",0,"15,837.00","10,584.00","3,475.00","1,817.00","10,783.00","10,960.00"
2020,0,0,0,0,0,0,0,0,0,0,0,0
Desember,"14,105.00","13,647.00",0,0,"19,086.00",0,"15,982.00","10,644.00","3,492.00","1,819.00","10,771.00","11,019.00"
November,"14,128.00","13,601.00",0,0,"18,845.00",0,"15,638.00","10,565.00","3,472.00","1,823.00","10,448.00","10,879.00"
Oktober,"14,690.00","14,027.00",0,0,"19,151.00",0,"16,204.00","10,807.00","3,528.00","1,895.00","10,481.00","11,143.00"
September,"14,918.00","14,114.00",0,0,"19,197.00",0,"16,212.00","10,909.00","3,590.00","1,925.00","10,652.00","11,149.00"
Agustus,"14,554.00","13,801.00",0,0,"19,424.00",0,"16,096.00","10,718.00","3,494.00","1,878.00","10,726.00","11,127.00"
Juli,"14,653.00","13,945.00",0,0,"19,021.00",0,"16,050.00","10,656.00","3,454.00","1,891.00","10,514.00","10,983.00"
Juni,"14,302.00","13,280.00",0,0,"17,598.00",0,"15,035.00","10,265.00","3,340.00","1,845.00","9,838.00","10,471.00"
Mei,"14,733.00","13,715.00",0,0,"18,155.00",0,"15,291.00","10,413.00","3,388.00","1,900.00","9,779.00","10,696.00"
April,"15,157.00","14,203.00",0,0,"18,877.00",0,"15,549.00","10,739.00","3,503.00","1,956.00","9,918.00","10,925.00"
Maret,"16,367.00","15,086.00",0,0,"20,190.00",0,"17,037.00","11,495.00","3,791.00","2,111.00","10,096.00","11,546.00"
