Index,Bulan,USD
72,Desember 2006,9020.0
71,November 2006,9165.0
70,Oktober 2006,9110.0
69,September 2006,9235.0
68,Agustus 2006,9100.0
67,Juli 2006,9070.0
66,Juni 2006,9300.0
65,Mei 2006,9220.0
64,April 2006,8775.0
63,Maret 2006,9075.0
62,Februari 2006,9230.0
61,Januari 2006,9395.0
60,Desember 2005,9830.0
59,November 2005,10035.0
58,Oktober 2005,10090.0
57,September 2005,10310.0
56,Agustus 2005,10240.0
55,Juli 2005,9819.0
54,Juni 2005,9713.0
53,Mei 2005,9495.0
52,April 2005,9570.0
51,Maret 2005,9480.0
50,Februari 2005,9260.0
49,Januari 2005,9165.0
48,Desember 2004,9290.0
47,November 2004,9018.0
46,Oktober 2004,9090.0
45,September 2004,9710.0
44,Agustus 2004,9328.0
43,Juli 2004,9168.0
42,Juni 2004,9415.0
41,Mei 2004,9210.0
40,April 2004,8661.0
39,Maret 2004,8587.0
38,Februari 2004,8447.0
37,Januari 2004,8441.0
36,Desember 2003,8465.0
35,November 2003,8537.0
34,Oktober 2003,8495.0
33,September 2003,8389.0
32,Agustus 2003,8535.0
31,Juli 2003,8505.0
30,Juni 2003,8285.0
29,Mei 2003,8279.0
28,April 2003,8675.0
27,Maret 2003,8908.0
26,Februari 2003,8905.0
25,Januari 2003,8876.0
24,Desember 2002,8940.0
23,November 2002,8976.0
22,Oktober 2002,9233.0
21,September 2002,9015.0
20,Agustus 2002,8867.0
19,Juli 2002,9108.0
18,Juni 2002,8730.0
17,Mei 2002,8785.0
16,April 2002,9316.0
15,Maret 2002,9655.0
14,Februari 2002,10189.0
13,Januari 2002,10320.0
12,Desember 2001,10400.0
11,November 2001,10430.0
10,Oktober 2001,10435.0
9,September 2001,9675.0
8,Agustus 2001,8865.0
7,Juli 2001,9525.0
6,Juni 2001,11440.0
5,Mei 2001,11058.0
4,April 2001,11675.0
3,Maret 2001,10400.0
2,Februari 2001,9835.0
1,Januari 2001,9450.0
