iter	Passed	Remaining
472	731	814
473	732	813
474	734	811
475	735	809
476	737	808
477	738	806
478	740	805
479	741	803
480	743	802
481	745	800
482	746	799
483	747	797
484	749	795
485	750	794
486	752	792
487	753	790
488	755	789
489	756	787
490	758	786
491	760	784
492	761	783
493	763	781
494	764	780
495	766	778
496	767	776
497	768	775
498	770	773
499	772	772
500	773	770
501	775	768
502	776	767
503	777	765
504	779	763
505	780	762
506	781	760
507	783	758
508	785	757
509	786	755
510	788	754
511	789	752
512	790	750
513	792	749
514	793	747
515	795	746
516	796	744
517	798	742
518	799	741
519	801	740
520	803	738
521	804	736
522	806	735
523	807	733
524	808	731
525	810	730
526	811	728
527	813	727
528	815	725
529	816	724
530	818	722
531	819	721
532	821	719
533	822	717
534	823	716
535	825	714
536	826	712
537	828	711
538	830	710
539	831	708
540	833	706
541	834	705
542	835	703
543	837	701
544	838	699
545	839	698
546	841	696
547	842	695
548	844	693
549	846	692
550	847	690
551	849	689
552	850	687
553	852	685
554	853	684
555	854	682
556	856	680
557	857	679
558	859	678
559	861	676
560	862	675
561	864	673
562	866	672
563	867	670
564	869	669
565	870	667
566	871	665
567	873	664
568	875	662
569	876	661
570	877	659
571	879	658
572	880	656
573	882	654
574	883	653
575	884	651
576	886	649
577	888	648
578	889	647
579	891	645
580	892	643
581	894	642
582	895	640
583	896	638
584	898	637
585	899	635
586	900	633
587	902	632
588	904	630
589	905	629
590	907	627
591	908	626
592	910	624
593	911	623
594	912	621
595	914	619
596	916	618
597	918	617
598	920	616
599	922	614
600	923	613
601	925	611
602	927	610
603	928	608
604	929	607
605	931	605
606	933	604
607	935	602
608	936	601
609	938	599
610	939	598
611	941	596
612	942	595
613	943	593
614	945	591
615	946	590
616	948	588
617	950	587
618	951	585
619	953	584
620	955	582
621	956	581
622	957	579
623	959	578
624	960	576
625	962	574
626	964	573
627	965	571
628	966	570
629	968	568
630	969	567
631	971	565
632	972	563
633	973	562
634	975	560
635	977	559
636	978	557
637	980	556
638	981	554
639	982	552
640	984	551
641	985	549
642	987	548
643	988	546
644	989	544
645	991	543
646	993	542
647	994	540
648	996	538
649	997	537
650	999	535
651	1001	534
652	1002	532
653	1003	531
654	1005	529
655	1006	528
656	1008	526
657	1009	524
658	1011	523
659	1012	521
660	1014	520
661	1015	518
662	1017	516
663	1018	515
664	1019	513
665	1021	512
666	1023	510
667	1024	509
668	1026	507
669	1027	506
670	1029	504
671	1031	503
672	1032	501
673	1034	500
674	1036	498
675	1037	497
676	1039	496
677	1041	494
678	1042	493
679	1044	491
680	1045	489
681	1047	488
682	1048	486
683	1050	485
684	1051	483
685	1053	482
686	1054	480
687	1056	479
688	1057	477
689	1059	475
690	1060	474
691	1061	472
692	1063	470
693	1064	469
694	1066	467
695	1067	466
696	1069	464
697	1070	463
698	1072	461
699	1073	460
700	1074	458
701	1076	456
702	1077	455
703	1079	453
704	1080	452
