iter	RMSE
167	406.884456
168	406.0749441
169	405.6301981
170	404.7653288
171	402.9472389
172	401.2055102
173	400.678543
174	400.1076112
175	399.4803936
176	398.6700899
177	397.2012179
178	395.0461956
179	393.2187473
180	391.9234538
181	390.821889
182	390.2201505
183	389.8681223
184	388.0105588
185	386.8104233
186	386.0349365
187	385.1653489
188	384.2309032
189	383.5105063
190	382.8134785
191	382.3202442
192	381.4529913
193	380.6036337
194	380.1546203
195	379.3284266
196	378.575279
197	377.7852057
198	377.3260145
199	376.8665413
200	376.193626
201	374.4233932
202	373.7554295
203	373.1237964
204	372.360865
205	370.3347843
206	369.4501354
207	368.8185143
208	367.9550372
209	367.172671
210	366.6500615
211	365.4568077
212	364.9004065
213	364.292245
214	363.9785651
215	363.4118121
216	362.7277386
217	361.9863014
218	361.4296929
219	361.0237417
220	360.3299295
221	358.645762
222	356.9121249
223	355.7448409
224	355.2470184
225	354.3704758
226	353.7400532
227	353.1899865
228	352.626554
229	352.1765219
230	351.7612503
231	351.2370082
232	350.6947838
233	349.6277528
234	349.2290367
235	347.5161451
236	347.0713498
237	346.5089271
238	346.0127059
239	345.2624605
240	343.8326969
241	343.3925064
242	342.7014006
243	342.3125808
244	342.1711209
245	341.698271
246	341.3141055
247	340.8460092
248	340.4974157
249	340.348771
250	340.0342978
251	339.789
252	339.4368628
253	339.2377044
254	338.9868568
255	338.7724307
256	338.0433658
257	337.8148689
258	337.6034632
259	337.4664108
260	337.3197488
261	336.4569693
262	336.2523627
263	335.9809445
264	334.7702546
265	334.6007319
266	333.0510536
267	331.5027684
268	331.319441
269	331.1026719
270	329.578998
271	329.4048772
272	328.6175865
273	328.4055152
274	328.3398045
275	326.6676413
276	326.3695011
277	326.2469539
278	326.1837445
279	325.9945955
280	325.9300823
281	325.8153462
282	325.7032587
283	324.298895
284	324.2396534
285	324.1045207
286	322.6971308
287	322.6373611
288	322.5818771
289	322.5265907
290	321.2516368
291	321.1984438
292	320.6651506
293	320.4849311
294	319.9913299
295	318.7304015
296	317.9669511
297	317.2503177
298	316.0735742
299	315.0576213
300	314.9882617
301	313.8866101
302	313.1177759
303	311.7062903
304	310.7286078
305	310.5875197
306	309.8669577
307	308.7302352
308	308.6260136
309	307.6548414
310	307.5981589
311	307.5488628
312	307.4574218
313	307.3589174
314	307.3124697
315	306.8765892
316	305.8997596
317	305.851506
318	304.8806355
319	304.3999066
320	304.2811383
321	303.3493841
322	302.6194136
323	301.8708658
324	300.8158552
325	300.0833669
326	299.2953778
327	298.8758664
328	298.2099698
329	297.1310169
330	297.0792378
331	296.0205912
332	295.9255213
333	295.0142665
334	294.8819104
335	294.2169823
336	293.390958
337	293.1197417
338	292.4809668
339	291.6209643
340	291.5362602
341	290.6245076
342	290.3582445
343	289.5516488
344	288.7779619
345	288.7218828
346	287.6200241
347	287.5645761
348	287.5125608
349	287.4603396
350	286.6910975
351	285.7602784
352	285.6781489
353	284.9742921
354	284.3799026
355	284.2673343
356	283.7149686
357	283.568242
358	283.4191815
359	283.0104308
360	282.3329257
361	282.2787391
362	281.9030736
363	281.8587907
364	281.4726567
365	281.4232173
366	281.29779
367	280.4103004
368	280.3621663
369	279.7122346
370	279.5631023
371	279.0470746
372	278.6076625
373	278.2138724
374	277.268603
375	277.2213291
376	276.9197752
377	276.1158952
378	276.0403599
379	275.3544729
380	275.3083001
381	275.2686162
382	274.6082536
383	274.3801369
384	273.5485244
385	273.0090953
386	272.1793334
387	272.1086495
388	272.0643917
389	271.6287099
390	271.0591201
391	270.9818384
392	270.3224578
393	269.6624052
394	269.1651278
395	268.4728104
396	267.8778444
397	267.3349131
398	266.7775822
399	266.3866626
400	266.3429254
401	266.2998947
402	265.6829676
403	264.9739976
404	264.9313872
405	264.6526045
406	264.023748
407	263.6330459
408	263.3532249
409	262.7903719
410	262.369333
411	261.7857968
412	261.1628185
413	260.612451
414	260.481159
415	260.1399233
416	259.7548935
417	259.214768
418	259.1390098
419	258.7594757
420	258.2028465
421	257.8289329
422	257.2846867
423	256.7573215
424	256.1740915
425	255.7420644
426	255.6645691
427	255.6204693
428	255.3511183
429	254.3807037
430	253.9884752
431	253.5886964
432	253.5244672
433	253.1130839
434	252.4820198
435	252.1595034
436	251.6620174
437	251.4076911
438	250.8120898
439	250.4182149
440	250.3424047
441	250.2995723
442	250.2262633
443	250.0176171
444	249.7510488
445	249.6293097
446	249.5112768
447	249.4734616
448	249.4362578
449	249.377571
450	248.9522816
451	248.7075178
452	248.4116418
453	247.7624808
454	246.8709713
455	246.52296
456	246.0007422
457	245.4155156
458	245.1788065
459	244.7204744
460	244.216237
461	243.8479727
462	243.2533964
463	243.072063
464	242.6873882
465	242.1607736
466	241.6575183
467	241.0418183
468	240.4359327
469	240.0115823
470	239.6060054
471	239.139275
472	238.6417418
473	238.2258597
474	237.9566625
475	237.4045502
476	236.9256939
477	236.852657
478	236.4367681
479	235.9233142
480	235.3845388
481	235.225404
482	234.6954105
483	234.306294
484	233.8836782
485	233.8146957
486	233.747314
487	233.5162967
488	233.1020929
489	232.9656336
490	232.6326567
491	232.1727848
492	231.6569522
493	231.2380114
494	230.8538377
495	230.4555387
496	230.0984272
497	230.0324669
498	229.897535
499	229.7700914
500	229.6538823
501	229.2727226
502	228.7133792
503	228.4675267
504	228.0207545
505	227.5420375
506	227.3020165
507	226.8342378
508	226.3776324
509	226.0536829
510	225.5678938
511	225.3163885
512	225.003668
513	224.5755141
514	224.4490972
515	224.3438011
516	224.2224617
517	223.7928857
518	223.3536437
519	222.8995076
520	222.4711262
521	222.3169644
522	221.9715884
523	221.5686105
524	221.1943762
525	221.09386
526	220.8494429
527	220.5138446
528	220.1290884
529	220.0313391
530	219.772192
531	219.6040686
532	219.5086535
533	219.2846712
534	218.9449756
535	218.5492231
536	218.3954495
537	218.0162423
538	217.6533953
539	217.3141071
540	217.1083527
541	216.7107284
542	216.5107548
543	216.1816807
544	215.9816902
545	215.5285534
546	215.4110935
547	215.0873679
548	214.7747833
549	214.7109836
550	214.4403532
551	214.1588356
552	213.9595228
553	213.6170858
554	213.3029438
555	213.0509029
556	212.9311889
557	212.6056786
558	212.299306
559	212.1575052
560	211.8229892
561	211.7027706
562	211.5621571
563	211.3788457
564	210.9518157
565	210.7735188
566	210.6840492
567	210.564902
568	210.412591
569	210.1729568
570	209.9288549
571	209.8043469
572	209.6264981
573	209.534427
574	209.2334814
575	209.1623488
576	208.9468781
577	208.6342817
578	208.5468796
579	208.3389793
580	208.2870312
581	208.0104184
582	207.7841412
583	207.6055754
584	207.196141
585	206.9062506
586	206.6107672
587	206.5253328
588	206.1795703
589	206.0758326
590	205.8942178
591	205.7300548
592	205.6070735
593	205.4246223
594	205.1294076
595	205.0147458
596	204.6993368
597	204.4279688
598	204.3574
599	204.1124452
600	203.805093
601	203.5935746
602	203.3015802
603	203.2192783
604	203.0245215
605	202.9442688
606	202.8157769
607	202.6651054
608	202.5041453
609	202.4002809
610	202.3427796
611	202.2653733
612	202.1683883
613	202.0228884
614	201.7964335
615	201.5309653
616	201.1781827
617	200.9572178
618	200.6761969
619	200.3151533
620	200.0883212
621	199.861405
622	199.6158914
623	199.4465695
624	199.168706
625	199.0326541
626	198.9113718
627	198.7710737
628	198.7151422
629	198.6131978
630	198.4668583
631	198.2179559
632	198.1065423
633	197.7643575
634	197.6898012
635	197.5386393
636	197.2676439
637	196.9481944
638	196.6048868
639	196.5329602
640	196.3595167
641	196.1277865
642	195.884695
643	195.4883017
644	195.0906279
645	195.0172011
646	194.9636233
647	194.8239634
648	194.6638787
649	194.4942102
650	194.3735842
651	194.1658528
652	193.9130463
653	193.5216428
654	193.3745491
655	193.2022623
656	193.1351184
657	192.854225
658	192.4685048
659	192.4156593
660	192.1387216
661	191.8700774
662	191.7828882
663	191.5798196
664	191.3393285
665	191.1897996
666	191.1375649
667	190.8358574
668	190.5557525
669	190.4597788
670	190.2147604
671	190.1461271
672	189.7929577
673	189.7122747
674	189.6465462
675	189.5041717
676	189.2484912
677	189.0001089
678	188.8621598
679	188.6068907
680	188.3912869
681	188.3146469
682	188.0622893
683	187.7323809
684	187.5055474
685	187.1519949
686	186.8810143
687	186.8397428
688	186.5910864
689	186.5250613
690	186.2072044
691	185.8433126
692	185.5243748
693	185.1747153
694	184.9424741
695	184.7249463
696	184.4603702
697	184.3559966
698	184.2372865
699	183.874347
700	183.700999
701	183.6233234
702	183.5598379
703	183.2546907
704	183.1315667
705	182.8794737
706	182.7293008
707	182.4037723
708	182.2835331
709	182.093114
710	181.9921627
711	181.9430975
712	181.7186849
713	181.61213
714	181.5140778
715	181.4140395
716	181.2535946
717	181.1742045
718	180.8531595
719	180.7268388
720	180.508703
721	180.4092633
722	180.2871261
723	179.9550405
724	179.8646384
725	179.5809031
726	179.4789529
727	179.2121465
728	179.0680757
729	178.959509
730	178.6692268
731	178.4107267
732	178.2920693
733	178.206325
734	178.0515816
735	177.9362407
736	177.7334103
737	177.4775306
738	177.2539546
739	177.0074717
740	176.9612172
741	176.8121293
742	176.7011232
743	176.5037947
744	176.4588397
745	176.2337032
746	176.0425742
747	175.8346443
748	175.754173
749	175.6735868
750	175.4507367
751	175.1529396
752	174.8368911
753	174.7066621
754	174.4188187
755	174.2727148
756	174.1041761
757	173.9785344
758	173.8032669
759	173.5992533
760	173.4480735
761	173.3072803
762	173.2561513
763	172.9723864
764	172.8311638
765	172.6141387
766	172.4057581
767	172.3349097
768	172.1457238
769	172.1195556
770	171.9501828
771	171.8584999
772	171.7698556
773	171.6499785
774	171.4159713
775	171.1310745
776	171.0075858
777	170.9296797
778	170.8822267
779	170.5768052
780	170.4496343
781	170.3382714
782	170.2149306
783	169.9450077
784	169.8018281
785	169.6255376
786	169.3537899
787	169.2690614
788	169.0836387
789	168.9100472
790	168.8690098
791	168.7420194
792	168.548847
793	168.5038967
794	168.4793418
795	168.2229037
796	168.0804191
797	168.0092628
798	167.9612792
799	167.8403611
800	167.7070546
801	167.57258
802	167.5013303
803	167.2594184
804	167.1442008
805	167.0091568
806	166.9362964
807	166.8666599
808	166.7444506
809	166.4877379
810	166.2330545
811	166.1342682
812	166.0883235
813	165.8924801
814	165.8069758
815	165.7109912
816	165.5796804
817	165.4425757
818	165.2467722
819	164.9626786
820	164.7823386
821	164.6526233
822	164.5994091
823	164.4988134
824	164.431325
825	164.1754482
826	164.0642796
827	163.8321464
828	163.6365104
829	163.4671206
830	163.2149353
831	163.0991494
832	163.0309808
833	162.8049073
834	162.6981288
835	162.5027745
836	162.3909306
837	162.3468043
838	162.2155536
839	162.0502889
840	161.8284299
841	161.6975614
842	161.5054148
843	161.3161976
844	161.2652233
845	160.9991938
846	160.8960849
847	160.7921383
848	160.6207872
849	160.4680011
850	160.3706797
851	160.2032908
852	160.0999496
853	159.8425685
854	159.6841628
855	159.5504713
856	159.2646032
857	159.1916903
858	159.1215194
859	158.9273674
860	158.8864715
861	158.7054487
862	158.5142236
863	158.4315009
864	158.3735297
865	158.2894701
866	158.1965146
867	158.0243267
868	157.9073193
869	157.7590968
870	157.7203826
871	157.5944482
872	157.4206478
873	157.2543689
874	157.2043623
875	157.1375657
876	157.0288479
877	156.860044
878	156.6436796
879	156.4795471
880	156.4222316
881	156.2815252
882	156.1767312
883	156.1171347
884	155.8881181
885	155.811523
886	155.6778636
887	155.458022
888	155.2999001
889	155.2093113
890	155.1377105
891	155.078913
892	155.0188186
893	154.9124367
894	154.756341
895	154.6982775
896	154.5445283
897	154.4968317
898	154.4060605
899	154.1727162
900	154.1031358
901	153.8762778
902	153.7422477
903	153.6502616
904	153.5249088
905	153.367727
906	153.2797737
907	153.096639
908	153.0139425
909	152.885093
910	152.8157507
911	152.6039984
912	152.4526586
913	152.3328981
914	152.3028476
915	152.2508986
916	152.1200088
917	152.0392034
918	151.8876987
919	151.7385261
920	151.533468
921	151.4771021
922	151.3815337
923	151.2572004
924	151.1118928
925	150.9620279
926	150.8326315
927	150.6195466
928	150.5358248
929	150.4289476
930	150.2891058
931	150.101472
932	150.0267614
933	150.0027789
934	149.9457204
935	149.8362035
936	149.7860283
937	149.7175207
938	149.6481204
939	149.4755877
940	149.3243765
941	149.1880915
942	149.0208355
943	148.9705494
944	148.9131715
945	148.7832657
946	148.6509117
947	148.5299612
948	148.3340461
949	148.1250014
950	147.9364839
951	147.8572609
952	147.6532377
953	147.5332125
954	147.4019191
955	147.3300513
956	147.2007324
957	147.0845171
958	146.9556015
959	146.8156116
960	146.6977167
961	146.5475988
962	146.4162698
963	146.2947954
964	146.1308883
965	146.0131647
966	145.9629386
967	145.8494187
968	145.7061283
969	145.5993206
970	145.5297757
971	145.4211265
972	145.3027534
973	145.1503297
974	144.9659128
975	144.9144937
976	144.8110902
977	144.6861629
978	144.5535239
979	144.5019608
980	144.322149
981	144.2115633
982	144.0511281
983	144.0302668
984	143.9680622
985	143.8706051
986	143.8068792
987	143.7665642
988	143.6716555
989	143.5419497
990	143.4753214
991	143.4045944
992	143.2805438
993	143.2232935
994	143.1524401
995	143.0725314
996	143.0243344
997	142.873211
998	142.7390549
999	142.6881401
